Volunteer,2ndEdit,Category,Source,Author,PullQuote,Quote
Daniel,ks,Bodhicitta,https://www.youtube.com/watch?v=9H7YI4qX7BI&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=144&t=0s,Ven. Thubten Chodron,Our goal is to become awakened so that we can be of the most benefit to all sentient beings.,"When working with the Dharma, it is important that we have a good motivation. Why are we following this path? What are we working toward? For Dharma practitioners, it’s important to remember that our goal is to become awakened so that we can be of the most benefit to all sentient beings. Keeping this motivation in mind can help us when we struggle, and it keeps us pointed in the right direction. $So today, let’s focus on creating that bodhicitta motivation, knowing that this is the path to real happiness for ourselves and for others. Let’s work hard to keep this motivation no matter what we encounter and to come back to it over and over as we go through our day."
Daniel,ks,Self-centered Thought,https://www.youtube.com/watch?v=adbDcilJssU&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=142,Ven. Thubten Chodron,"Happiness, no matter whose it is, is something to cultivate. Suffering, no matter whose it is, is something to get rid of.","Consider our vast universe and all the enormous stars we look at: there could be all sorts of sentient beings out there in all of the six realms. Just like you, every one of those sentient beings wants to be happy and wants not to suffer. $Since we’re all alike in wanting happiness and not wanting suffering, we can’t say that we’re more important than others. Instead of making this differentiation between self and others, remember instead that happiness, no matter whose it is, is something to cultivate. Suffering, no matter whose it is, is something to get rid of."
Daniel,ks,Disturbing Emotions,https://www.youtube.com/watch?v=sGcF9ZgVkAc&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=141,Ven. Thubten Chodron,"At times when afflictions completely overwhelm us, it’s important to identify the afflictive state of mind and remember that it is not who we are.","This mind of ours has tremendous potential and possibility. However, at the moment, its ability and potential is covered by the clouds of mental afflictions, which are disturbing emotions and wrong views, contorted attitudes, and also the karma created under their influence. While they pollute the mind, they are not the nature of the mind. $At times when afflictions completely overwhelm us, it’s important to identify the afflictive state of mind and remember that it is not who we are. Being able to identify our afflictions in that way gives us the mental space where we can come out from under the influence of disturbing emotions."
Daniel,ks,Living the Practice,https://www.youtube.com/watch?v=oFCxwpq8QwQ&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=140,Ven. Thubten Chodron,"Improve our own abilities, knowledge, and skill so that we can be of the greatest benefit to all living beings.","When we want to learn anything, we depend on others to learn it. Specifically, we depend on teachers and mentors. $Our fundamental teacher is the Buddha, and then we also have human beings who teach us and who lead us on the path. It’s a very special relationship we have unlike any other relationships in our lives, so it’s important to approach that relationship with the correct motivation. The best motivation is one of love, compassion, and altruism for all living beings: wanting to improve our own abilities, knowledge, and skill so that we can be of the greatest benefit to all living beings."
Daniel,ks,Bodhicitta,https://www.youtube.com/watch?v=yf3pyFOYyts&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=139,Ven. Thubten Chodron,Let’s take the time to develop our wisdom and skillful means so that our Dharma practice and our entire life become service to sentient beings.,"This large universe is filled with many galaxies, solar systems, and sentient beings. All except for a miniscule fraction of those beings have no access to the Dharma, so they wander around aimlessly in samsara trying to be happy. Due to self-centeredness, ignorance, anger and attachment, they instead create many causes for suffering. $So, let’s try to serve each living being as best we can, knowing that part of benefitting sentient beings entails improving our own minds. Let’s take the time to develop our wisdom and skillful means so that our Dharma practice and our entire life become service to sentient beings."
Daniel,ks,Bodhicitta,https://www.youtube.com/watch?v=YW7AgaAE8uc&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=138,Ven. Thubten Chodron,Generate the motivation to become fully awakened for the benefit of all sentient beings.,"When we look at the night sky, the stars seem so very small to us, but for sure there are countless sentient beings out there who are wishing for happiness and freedom from suffering. When we gaze at the stars, we can let our hearts go out to all of them, knowing that no matter where they are or what life form they are, they are doing their best to be happy and free from suffering just like us. Understanding this, let’s generate the motivation to become fully awakened for the benefit of all those sentient beings."
Daniel,ks,Kindness of Others,https://www.youtube.com/watch?v=c1Qe6M4pzr0&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=137,Ven. Thubten Chodron,Focus on what we have received and develop a feeling of gratitude and a wish to repay the kindness.,"Help, love, guidance, education, and so on: we have received so much kindness from other sentient beings. Even when we’ve had problems with some, thanks to the mind training teachings we can transform those problems into the path of awakening. So, let’s focus on what we have received and develop a feeling of gratitude and a wish to repay the kindness. Then, from that, let’s generate the determination to free ourselves from cyclic existence in order to work for the benefit of all those sentient beings."
Daniel,ks,Living the Practice,https://www.youtube.com/watch?v=c1Qe6M4pzr0&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=137,Ven. Thubten Chodron,Internalize what we’ve learned from the Dharma and put it into practice in our lives.,"It’s very important for Dharma practitioners to be on the same page in terms of our motivation. It’s important that all of us are seeking to learn how to work with our minds, to subdue our afflictions, to enrich our good qualities, to accomplish the path to supreme awakening. It’s important for everyone involved to be united in terms of our hearts and what we seek. So, with that kind of attitude, with delight, let’s internalize what we’ve learned from the Dharma and put it into practice in our lives."
Daniel,ks,Bodhicitta,https://www.youtube.com/watch?v=c1Qe6M4pzr0&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=137,Ven. Thubten Chodron,It is only right that we try to use our present opportunity to be of benefit to other sentient beings.,"Wherever we go, we are always surrounded by sentient beings as far as infinite space, and all of these beings are, just like us, wanting happiness, not misery. Since we have a precious human life and the opportunity to practice the Dharma, and since all these beings have been kind to us, then it’s only right that we try to use our present opportunity to be of benefit to them. $While it’s good to take care of their problems while they are in samsara, it’s even better to be able to lead them out of samsara. To do that, we first have to get ourselves out of samsara, and we have to generate all the qualities of a Buddha so that we can really be of great benefit."
Daniel,ks,Precious Human Life,https://www.youtube.com/watch?v=kKVTjmBZ800&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=134,Ven. Thubten Chodron,Continually remind ourselves of our long-term goal and truly use it as the basis for all that we do in our lives.,"We are fortunate in this life to have met the Dharma, to have interest in the Dharma, to have the ability to hear the teachings, and to have the time to think about, practice, and meditate on them. It’s important to appreciate this situation and to have a strong determination to make use of it and not waste it. Of course, the best way to make use of it is to generate bodhicitta and wisdom and to amass the two collections of merit and insight. $Today, let’s come back to this bodhicitta motivation over and over again. Let’s continually remind ourselves of our long-term goal and use it as the basis for all that we do in our lives."
